RA,Latitude,Longitude,Platform,Operational,RA_Funded,Water_temp,Salinity,Wtr_press,Dew_pt,Rel_hum,Air_temp,Winds,Air_press,Precip,Solar_radn,Visibility,Water_level,Waves,Currents,Turbidity,DO,pCO2_water,pCO2_air,TCO2,pH,OmgArag_st,Chl,Nitrate,CDOM,Alkalinity,Acoustics,Raw_Vars,geometry
CARICOOS,18.28938,-65.632,fixed,Y,Yf,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",POINT (-65.63200000000001 18.28938)
CARICOOS,17.92859,-66.1597,fixed,Y,Yf,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",POINT (-66.1597 17.92859)
CARICOOS,18.45512,-66.12846,fixed,Y,Yf,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",POINT (-66.12846 18.45512)
CARICOOS,18.25623,-65.99167,fixed,Y,Yf,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",POINT (-65.99167 18.25623)
CARICOOS,18.3137,-65.22742,fixed,Y,Yf,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",POINT (-65.22742 18.3137)
CARICOOS,17.67771,-64.89989,fixed,Y,Yf,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m), rainfall_amount",POINT (-64.89989 17.67771)
CARICOOS,18.09995,-67.18887,fixed,Y,Yf,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",POINT (-67.18886999999999 18.09995)
CARICOOS,18.27823,-64.8926,fixed,Y,Yf,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",POINT (-64.8926 18.27823)
CARICOOS,18.34291,-64.8173,fixed,Y,Yf,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",POINT (-64.8173 18.34291)
CARICOOS,18.43295,-67.15663,fixed,Y,Yf,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",POINT (-67.15663000000001 18.43295)
CARICOOS,18.36669,-67.25141,fixed,Y,Yf,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed (15 m), wind_speed_of_gust (15 m), wind_from_direction (15 m), air_temperature (15 m), air_pressure (15 m), relative_humidity (15 m)",POINT (-67.25141000000001 18.36669)
CARICOOS,17.96944,-67.04417,fixed,N,Yf,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed (10 m), wind_speed_of_gust (10 m), wind_from_direction (10 m), air_temperature (10 m), air_pressure (10 m), relative_humidity (10 m)",POINT (-67.04416999999999 17.96944)
CARICOOS,17.96944,-67.04417,fixed,Y,Yf,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed (8 m), wind_speed_of_gust (8 m), wind_from_direction (8 m), air_temperature (8 m), air_pressure (8 m), relative_humidity (8 m)",POINT (-67.04416999999999 17.96944)
CARICOOS,17.9644,-66.6177,fixed,Y,Yf,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed (15 m), wind_speed_of_gust (15 m), wind_from_direction (15 m), air_temperature (15 m), air_pressure (15 m), relative_humidity (15 m)",POINT (-66.6177 17.9644)
CARICOOS,17.9335,-67.192,fixed,Y,Yf,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed (3 m), wind_speed_of_gust (3 m), wind_from_direction (3 m), air_temperature (3 m), air_pressure (3 m), relative_humidity (3 m)",POINT (-67.19199999999999 17.9335)
CARICOOS,18.347,-67.2613,fixed,Y,Yf,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,"wind_speed (3 m), wind_speed_of_gust (3 m), wind_from_direction (3 m), air_temperature (3 m), air_pressure (3 m), relative_humidity (3 m)",POINT (-67.26130000000001 18.347)
CeNCOOS,35.37,-120.86,fixed ,y,yp,X,,X,,X,X,X,X,X,X,X,,,,X,X,,,,,,X,,,,,"sea_water_turbidity(2m), sea_water_temperature(2m), sea_water_pressure(2m), sea_water_practical_salinity(2m), mass_concentration_of_oxygen_in_sea_water(2m), mass_concentration_of_chlorophyll_in_sea_water(2m), wind_speed(-5.5m), wind_from_direction(-5.5m), air_temperature(-5.5m), air_pressure(-5.5m), relative_humidity(-5.5m), lwe_thickness_of_precipitation_amount(-5.5m), solar_radiation(-5.5m), visibility_in_air(-5.5m)",POINT (-120.86 35.37)
CeNCOOS,35.3333,-120.8463,fixed,Y,yp,X,,X,,X,X,X,X,X,X,,,X,,,X,,,,,,X,,,,,"surface_air_pressure(sfc), wind_speed, wind_from_direction, air_temperature, relative_humidity, precipitation_amount, net_downward_shortwave_flux_in_air, sea_water_temperature(sfc), sea_water_practical_salinity(sfc), sea_water_pressure(sfc), mass_concentration_of_chlorophyll_in_sea_water(sfc), mass_concentration_of_oxygen_in_sea_water(sfc)",POINT (-120.8463 35.3333)
CeNCOOS,35.17,-122.89,fixed ,y,Yp,X,,X,,X,X,X,X,X,X,X,,,,X,,,,,,,X,,,,,"sea_water_temperature(1m,1.5m,2m,2.5m,3m,3.5m,4m,4.5m,6m,6.5m,7m,7.5m,8m,8.5m,9m), sea_water_pressure, sea_water_practical_salinity(1m,1.5m,2m,2.5m,3m,3.5m,4m,4.5m,6m,6.5m,7m,7.5m,8m,8.5m,9m), mass_concentration_of_chlorophyll_in_sea_water(1m,1.5m,2m,2.5m,3m,3.5m,4m,4.5m,6m,6.5m,7m,7.5m,8m,8.5m,9m), sea_water_turbidity(1m,1.5m,2m,2.5m,3m,3.5m,4m,4.5m,6m,6.5m,7m,7.5m,8m,8.5m,9m),  bioluminescence(1m,1.5m,2m,2.5m,3m,3.5m,4m,4.5m,6m,6.5m,7m,7.5m,8m,8.5m,9m), wind_speed(-15.5m), wind_from_direction(-15.5m), air_temperature(-15.5m), air_pressure(-15.5m), relative_humidity(-15.5m), lwe_thickness_of_precipitation_amount(-15.5m), solar_radiation(-15.5m), visibility_in_air(-15.5m)",POINT (-122.89 35.17)
CeNCOOS,37.8,-122.397,fixed ,y,n,X,,X,,X,X,X,X,,X,,,X,,X,X,,,X,,,X,,,,,"sea_water_temperature, sea_water_practical_salinity, sea_water_pressure, mass_concentration_of_oxygen_in_sea_water,  mass_concentration_of_chlorophyll_in_sea_water, sea_water_turbidity, sea_water_ph_measured_on_total_scale, dissolved_carbon_dioxide, air_temperature, air_pressure, relative_humidity, wind_speed, wind_from_direction, diffuse_downwelling_shortwave_flux_in_air",POINT (-122.397 37.8)
CeNCOOS,41.06,-124.15,fixed ,y,Yp,X,X,X,,,,,,,,,,,,X,X,,,,,,X,,,,," sea_water_temperature(4.6m), sea_water_salinity(4.6m), mass_concentration_of_oxygen_in_sea_water(4.6m), sea_water_ph_measured_on_total_scale(4.6m), mass_concentration_of_chlorophyll_in_sea_water(4.6), sea_water_turbidity, sea_water_pressure(4.6m)",POINT (-124.15 41.06)
CeNCOOS,40.78,-124.2,fixed,Y,Yp,X,X,X,,,,,,,,,,,,X,X,,,,,,X,,,,,"sea_water_temperature(2m), sea_water_salinity(2m), mass_concentration_of_oxygen_in_sea_water(2m), sea_water_ph_measured_on_total_scale(2m), mass_concentration_of_chlorophyll_in_sea_water(2m), sea_water_turbidity(2m), sea_water_pressure(2m)",POINT (-124.2 40.78)
CeNCOOS,40.81,-124.15,fixed,y,Yp,X,,X,,,,,,,,,,,,X,X,,,,,,X,,,,," sea_water_temperature(2.4m), sea_water_practical_salinity(2.4m), mass_concentration_of_oxygen_in_sea_water(2.4m), sea_water_ph_measured_on_total_scale(2.4m), mass_concentration_of_chlorophyll_in_sea_water(2.4m), sea_water_turbidity(2.4m), sea_water_pressure(2.4m)",POINT (-124.15 40.81)
